time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite,Albedo_theta<70d,Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),CloudCover,Station
1172758213793,2007-03-01 14:10:13.793,0.794048011302948,0.7584327459335327,0.7420910000801086,0.6611820459365845,0.6575262773215772,0.0389424195006591,0.0479822350082154,0.0600085933669751,0.061689453291277,Landsat,,,,,,,
1174140616087,2007-03-17 14:10:16.087,0.9652852416038512,0.9480541348457336,0.961214005947113,0.921492338180542,0.7547456522524356,0.0155816390453559,0.0181435076088529,0.0218061158450308,0.0265088025333941,Landsat,,,,,,,
1174745787280,2007-03-24 14:16:27.280,0.947834312915802,0.9489782452583312,0.9617392420768738,0.8926096558570862,0.7000915153861045,0.0218500479750198,0.02721580420749,0.0277612203811131,0.0341484254953223,Landsat,,,,,,,
1187964582541,2007-08-24 14:09:42.541,0.2652485072612762,0.2609932720661163,0.2771475315093994,0.1892759799957275,0.2171467787533999,0.01379115023975,0.0141792709438653,0.014886806977151,0.0268356398063059,Landsat,,,,,,,
1191506592208,2007-10-04 14:03:12.208,0.640655517578125,0.6338865756988525,0.6237179040908813,0.5251538157463074,0.5127771581470966,0.0151285688507088,0.0206271824312378,0.0342643816474105,0.0981865232627385,Landsat,0.374,2007.0,10.0,4.0,15.0,0.0,QAS_L
1191506616085,2007-10-04 14:03:36.085,0.6346265077590942,0.6277754902839661,0.6189619302749634,0.5271835923194885,0.5151526911795141,0.0158695199099123,0.0205292492962133,0.0254176457897818,0.0924740845525648,Landsat,0.374,2007.0,10.0,4.0,15.0,0.0,QAS_L
1192111768219,2007-10-11 14:09:28.219,0.3838602900505066,0.3689352571964264,0.3526588976383209,0.1768976747989654,0.2505319936424495,0.0275873000609756,0.0299804170908376,0.0314044203087765,0.0451228816839967,Landsat,,,,,,,
1193494180287,2007-10-27 14:09:40.287,0.5114701986312866,0.4883243143558502,0.4349978268146515,0.2415177226066589,0.3998767190635205,0.0324091418860094,0.0364576007418345,0.0378936303669869,0.0498104290732141,Landsat,,,,,,,
1213624996996,2008-06-16 14:03:16.996,0.3911617994308471,0.3874174654483795,0.393974244594574,0.276290088891983,0.2808763816684484,0.0138640519747707,0.0150698170384916,0.0237184597518328,0.0462078037831319,Landsat,0.189,2008.0,6.0,16.0,14.0,0.25,QAS_L
1213625020872,2008-06-16 14:03:40.872,0.3904043734073639,0.387506902217865,0.3934198915958404,0.2802165448665619,0.2881501772165299,0.0149656351216656,0.0156373076424164,0.0229744414100778,0.0467285181384982,Landsat,0.189,2008.0,6.0,16.0,14.0,0.25,QAS_L
